table_name,latest_run_id,latest_snapshot_date,latest_parquet_key,latest_csv_key,row_count,column_count,schema_hash,primary_key_unique,dq_status,updated_at_utc
control_pipeline_runs,control_pipeline_runs_20260611T172643Z,2026-06-11,processed/oireachtas_unified/latest/parquet/control_pipeline_runs.parquet,processed/oireachtas_unified/latest/csv/control_pipeline_runs.csv,10,13,3497194df89a51748c8a5146,true,pass,2026-06-12T05:28:08+00:00
gold_constituency_activity_yearly,gold_constituency_activity_yearly_20260611T171451Z,2026-06-11,processed/oireachtas_unified/latest/parquet/gold_constituency_activity_yearly.parquet,processed/oireachtas_unified/latest/csv/gold_constituency_activity_yearly.csv,10,6,b8f7c5cb1a636ed3a23e436b,true,pass,2026-06-12T05:28:08+00:00
gold_content_fact_pool,gold_content_fact_pool_20260611T171557Z,2026-06-11,processed/oireachtas_unified/latest/parquet/gold_content_fact_pool.parquet,processed/oireachtas_unified/latest/csv/gold_content_fact_pool.csv,10,12,9d84bb9883ea9a1d662d3d2e,true,pass,2026-06-12T05:28:08+00:00
gold_current_members,gold_current_members_20260611T164637Z,2026-06-11,processed/oireachtas_unified/latest/parquet/gold_current_members.parquet,processed/oireachtas_unified/latest/csv/gold_current_members.csv,10,7,b4f3d338780187dcf2dfa4f1,true,pass,2026-06-12T05:28:08+00:00
gold_member_activity_monthly,gold_member_activity_monthly_20260611T171347Z,2026-06-11,processed/oireachtas_unified/latest/parquet/gold_member_activity_monthly.parquet,processed/oireachtas_unified/latest/csv/gold_member_activity_monthly.csv,10,6,7374604d9f3c85da4b91abff,true,pass,2026-06-12T05:28:08+00:00
gold_member_activity_yearly,gold_member_activity_yearly_20260611T165033Z,2026-06-11,processed/oireachtas_unified/latest/parquet/gold_member_activity_yearly.parquet,processed/oireachtas_unified/latest/csv/gold_member_activity_yearly.csv,10,13,270b39f013f737f7fe9cf1e1,true,pass,2026-06-12T05:28:08+00:00
silver_bill_debates,silver_bill_debates_20260611T150745Z,2026-06-11,processed/oireachtas_unified/latest/parquet/silver_bill_debates.parquet,processed/oireachtas_unified/latest/csv/silver_bill_debates.csv,12,11,23d68a7054be852f58960d63,true,pass,2026-06-12T05:28:08+00:00
silver_bill_events,silver_bill_events_20260611T155424Z,2026-06-11,processed/oireachtas_unified/latest/parquet/silver_bill_events.parquet,processed/oireachtas_unified/latest/csv/silver_bill_events.csv,19,10,ee380fb9811fb252b2d48e19,true,pass,2026-06-12T05:28:08+00:00
silver_bill_related_docs,silver_bill_related_docs_20260611T062419Z,2026-06-11,processed/oireachtas_unified/latest/parquet/silver_bill_related_docs.parquet,processed/oireachtas_unified/latest/csv/silver_bill_related_docs.csv,1,15,6da8e75d239da1f99d6fa9e4,true,pass,2026-06-12T05:28:08+00:00
silver_bill_sponsors,silver_bill_sponsors_20260611T064401Z,2026-06-11,processed/oireachtas_unified/latest/parquet/silver_bill_sponsors.parquet,processed/oireachtas_unified/latest/csv/silver_bill_sponsors.csv,36,9,9b01b677730e26dc579ddcae,true,pass,2026-06-12T05:28:08+00:00
