member_code,year,speech_count,debate_day_count,division_count,votes_cast_count,vote_participation_pct,ta_count,nil_count,staon_count,speech_rank,vote_participation_rank,snapshot_date
Micheál-Martin.D.1989-06-29,2026,423,6,40,6,15.0,4,2,0,1,26,2026-06-14
Verona-Murphy.D.2020-02-08,2026,327,10,40,0,0.0,0,0,0,2,28,2026-06-14
Simon-Harris.D.2011-03-09,2026,118,3,40,3,7.5,1,2,0,3,27,2026-06-14
Helen-McEntee.D.2013-03-27,2026,109,5,40,29,72.5,20,9,0,4,10,2026-06-14
Jim-O'Callaghan.D.2016-10-03,2026,99,4,40,40,100.0,25,15,0,5,1,2026-06-14
Richard-Boyd-Barrett.D.2011-03-09,2026,93,10,40,34,85.0,11,23,0,6,5,2026-06-14
John-McGuinness.D.1997-06-26,2026,89,10,40,14,35.0,10,4,0,7,22,2026-06-14
Mary-Lou-McDonald.D.2011-03-09,2026,84,6,40,10,25.0,2,8,0,8,24,2026-06-14
Pearse-Doherty.S.2007-07-23,2026,74,8,40,26,65.0,10,15,1,9,13,2026-06-14
Charlie-McConalogue.D.2011-03-09,2026,65,5,40,37,92.5,24,13,0,10,4,2026-06-14
