debate_section_id,debate_id,section_eid,section_uri,section_order,heading,show_as,parent_section_id,snapshot_date
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-06-11/debate/dbsect_2,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-06-11/debate/main,dbsect_2,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-06-11/debate/dbsect_2,1,Ceisteanna ar Sonraíodh Uain Dóibh - Priority Questions,Ceisteanna ar Sonraíodh Uain Dóibh - Priority Questions,,2026-06-14
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-06-11/debate/dbsect_3,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-06-11/debate/main,dbsect_3,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-06-11/debate/dbsect_3,2,Data Centres,Data Centres,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-06-11/debate/dbsect_2,2026-06-14
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-06-11/debate/dbsect_4,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-06-11/debate/main,dbsect_4,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-06-11/debate/dbsect_4,3,Legislative Measures,Legislative Measures,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-06-11/debate/dbsect_2,2026-06-14
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-06-11/debate/dbsect_5,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-06-11/debate/main,dbsect_5,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-06-11/debate/dbsect_5,4,Energy Prices,Energy Prices,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-06-11/debate/dbsect_2,2026-06-14
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-06-11/debate/dbsect_6,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-06-11/debate/main,dbsect_6,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-06-11/debate/dbsect_6,5,Data Centres,Data Centres,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-06-11/debate/dbsect_2,2026-06-14
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-06-11/debate/dbsect_7,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-06-11/debate/main,dbsect_7,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-06-11/debate/dbsect_7,6,Greenhouse Gas Emissions,Greenhouse Gas Emissions,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-06-11/debate/dbsect_2,2026-06-14
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-06-11/debate/dbsect_8,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-06-11/debate/main,dbsect_8,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-06-11/debate/dbsect_8,7,Ceisteanna Eile - Other Questions,Ceisteanna Eile - Other Questions,,2026-06-14
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-06-11/debate/dbsect_9,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-06-11/debate/main,dbsect_9,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-06-11/debate/dbsect_9,8,Energy Policy,Energy Policy,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-06-11/debate/dbsect_8,2026-06-14
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-06-11/debate/dbsect_10,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-06-11/debate/main,dbsect_10,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-06-11/debate/dbsect_10,9,Legislative Process,Legislative Process,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-06-11/debate/dbsect_8,2026-06-14
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-06-11/debate/dbsect_11,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-06-11/debate/main,dbsect_11,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-06-11/debate/dbsect_11,10,Recycling Policy,Recycling Policy,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2026-06-11/debate/dbsect_8,2026-06-14
