house_uri,house_no,house_code,chamber,show_as,date_start,date_end,is_current,source_endpoint,snapshot_date,source_hash
https://data.oireachtas.ie/ie/oireachtas/house/dail & seanad/27,27,dail & seanad,dail & seanad,34th Dáil & 27th Seanad,2025-01-29,,True,/houses,2026-06-02,d8c6ce4f144fd218
https://data.oireachtas.ie/ie/oireachtas/house/seanad/27,27,seanad,seanad,27th Seanad,2025-01-29,,True,/houses,2026-06-02,82be1c1971415ad9
https://data.oireachtas.ie/ie/oireachtas/house/dail/34,34,dail,dail,34th Dáil,2024-11-29,,True,/houses,2026-06-02,30816e19b91c8288
https://data.oireachtas.ie/ie/oireachtas/house/seanad/26,26,seanad,seanad,26th Seanad,2020-03-30,2025-01-29,False,/houses,2026-06-02,675aaf21d2582785
https://data.oireachtas.ie/ie/oireachtas/house/dail/33,33,dail,dail,33rd Dáil,2020-02-08,2024-11-08,False,/houses,2026-06-02,3b62f1ab7b0d8f68
https://data.oireachtas.ie/ie/oireachtas/house/dail & seanad/26,26,dail & seanad,dail & seanad,33rd Dáil & 26th Seanad,2020-02-08,2024-11-08,False,/houses,2026-06-02,6fe3e12216bc38a9
https://data.oireachtas.ie/ie/oireachtas/house/dail & seanad/25,25,dail & seanad,dail & seanad,32nd Dáil & 25th Seanad,2016-04-25,2020-01-14,False,/houses,2026-06-02,9e9342caa8550009
https://data.oireachtas.ie/ie/oireachtas/house/seanad/25,25,seanad,seanad,25th Seanad,2016-04-25,2020-03-29,False,/houses,2026-06-02,c4455c3f59e0ce4f
https://data.oireachtas.ie/ie/oireachtas/house/dail/32,32,dail,dail,32nd Dáil,2016-03-10,2020-01-14,False,/houses,2026-06-02,c55cb17daf2ab37d
https://data.oireachtas.ie/ie/oireachtas/house/seanad/24,24,seanad,seanad,24th Seanad,2011-05-25,2016-04-24,False,/houses,2026-06-02,bedc0183eb4b55be
