member_code,member_uri,full_name,first_name,last_name,display_name,gender,member_key,is_current_member,latest_party_name,latest_constituency_name,latest_house_no,source_endpoint,snapshot_date,source_hash
Ciarán-Ahern.D.2024-11-29,https://data.oireachtas.ie/ie/oireachtas/member/id/Ciarán-Ahern.D.2024-11-29,Ciarán Ahern,Ciarán,Ahern,Ciarán Ahern,,84982be851d6bab5,True,Labour Party,Dublin South-West,34,/members,2026-06-06,fc6f5a2909d5bd66
William-Aird.D.2024-11-29,https://data.oireachtas.ie/ie/oireachtas/member/id/William-Aird.D.2024-11-29,William Aird,William,Aird,William Aird,,f9db113463ecef1d,True,Fine Gael,Laois,34,/members,2026-06-06,254f6dbc08227f42
Catherine-Ardagh.S.2016-04-25,https://data.oireachtas.ie/ie/oireachtas/member/id/Catherine-Ardagh.S.2016-04-25,Catherine Ardagh,Catherine,Ardagh,Catherine Ardagh,,47078b63e682f9f1,True,Fianna Fáil,Dublin South-Central,34,/members,2026-06-06,bf0f28c61406f458
Ivana-Bacik.S.2007-07-23,https://data.oireachtas.ie/ie/oireachtas/member/id/Ivana-Bacik.S.2007-07-23,Ivana Bacik,Ivana,Bacik,Ivana Bacik,,e8e80930c0e410a1,True,Labour Party,Dublin Bay South,34,/members,2026-06-06,b39fc1132d96e7ad
Cathy-Bennett.D.2024-11-29,https://data.oireachtas.ie/ie/oireachtas/member/id/Cathy-Bennett.D.2024-11-29,Cathy Bennett,Cathy,Bennett,Cathy Bennett,,df1419838245e81c,True,Sinn Féin,Cavan-Monaghan,34,/members,2026-06-06,f434d5426eb2c065
Grace-Boland.D.2024-11-29,https://data.oireachtas.ie/ie/oireachtas/member/id/Grace-Boland.D.2024-11-29,Grace Boland,Grace,Boland,Grace Boland,,20f2314b6318d589,True,Fine Gael,Dublin Fingal West,34,/members,2026-06-06,c5fc606ca6a8f90b
Richard-Boyd-Barrett.D.2011-03-09,https://data.oireachtas.ie/ie/oireachtas/member/id/Richard-Boyd-Barrett.D.2011-03-09,Richard Boyd Barrett,Richard,Boyd Barrett,Richard Boyd Barrett,,ca14ca596939ee40,True,People Before Profit-Solidarity,Dún Laoghaire,34,/members,2026-06-06,6c030d4c8ff90163
Tom-Brabazon.D.2024-11-29,https://data.oireachtas.ie/ie/oireachtas/member/id/Tom-Brabazon.D.2024-11-29,Tom Brabazon,Tom,Brabazon,Tom Brabazon,,3c88163497d330d7,True,Fianna Fáil,Dublin Bay North,34,/members,2026-06-06,d49136c68345d832
John-Brady.D.2016-10-03,https://data.oireachtas.ie/ie/oireachtas/member/id/John-Brady.D.2016-10-03,John Brady,John,Brady,John Brady,,b7d8d0ba8cc96e9b,True,Sinn Féin,Wicklow,34,/members,2026-06-06,fe5c6304fbd089bb
Brian-Brennan.D.2024-11-29,https://data.oireachtas.ie/ie/oireachtas/member/id/Brian-Brennan.D.2024-11-29,Brian Brennan,Brian,Brennan,Brian Brennan,,30b633211ec6f347,True,Fine Gael,Wicklow-Wexford,34,/members,2026-06-06,56af893f8b879233
